序号,映射地址,参数名,备注,默认值,最大值,最小值,数据类型,读写,参数,保护,PID,运动中是否可修改,使能时是否可修改,是否数组类型,是否可保存FLASH,轴相关,参数地址
0,,测试数组,数组大小为20,0,65536,0,int32_t,RW,,,,判断运动状态？,,,,,
1,,电机0使能,电机使能,0,65536,0,uint8_t,RW,,,Y,,,,,,
2,,电机1使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
3,,电机2使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
4,,电机3使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
5,,电机4使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
6,,电机5使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
7,,电机6使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
8,,电机7使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
9,,电机8使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
10,,电机9使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
11,,电机10使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
12,,电机11使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
13,,电机12使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
14,,电机13使能,,0,65536,0,uint8_t,RW,,,Y,,,,,,
15,,电机0PWM,除了两个无刷剩下12个电机都需要PWM控制,0,32768,-32767,int16_t,RW,Y,,,,,,,,
16,,电机1PWM,,0,32768,-32767,int16_t,RW,456789,,,,,,,,
17,,电机2PWM,,0,32768,-32767,int16_t,RW,123456,,,,,,,,
18,,电机3PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
19,,电机4PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
20,,电机5PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
21,,电机6PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
22,,电机7PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
23,,电机8PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
24,,电机9PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
25,,电机10PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
26,,电机11PWM,,0,32768,-32767,int16_t,RW,Y,,,,,,,,
27,,无刷1速度给定,无刷速度给定,0,32768,-32767,int16_t,RW,,,Y,,,,,,
28,,无刷2速度给定,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
29,,无刷1速度参考,无刷速度参考,0,32768,-32767,int16_t,RW,,,Y,,,,,,
30,,无刷2速度参考,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
31,,无刷1速度偏差,无刷速度偏差,0,65536,0,int16_t,RO,,,Y,,,,,,
32,,无刷2速度偏差,,0,65536,0,int16_t,RO,,,Y,,,,,,
33,,无刷1实际速度,无刷和风机实际速度其他电机没有,0,65536,0,int32_t,RO,,,Y,,,,,,
34,,无刷2实际速度,,0,65536,0,int32_t,RO,,,Y,,,,,,
35,,风机1实际速度,,0,65536,0,int32_t,RO,,,Y,,,,,,
36,,边刷实际速度,,0,65536,0,int32_t,RO,,,Y,,,,,,
37,,无刷1最大速度限制,最大速度限制,0,65536,0,int16_t,RW,,Y,,,,,,,
38,,无刷2最大速度限制,,0,65536,0,int16_t,RW,,Y,,,,,,,
39,,电机0实际位置,无刷和推杆实际位置,0,65536,0,int32_t,RO,,,Y,,,,,,
40,,电机1实际位置,,0,65536,0,int32_t,RO,,,Y,,,,,,
41,,电机2实际位置,,0,65536,0,int32_t,RO,,,Y,,,,,,
42,,电机3实际位置,,0,65536,0,int32_t,RO,,,Y,,,,,,
43,,电机4实际位置,,0,65536,0,int32_t,RO,,,Y,,,,,,
44,,电机0实际电流,8路电流采样,0,65536,0,uint16_t,RO,,,Y,,,,,,
45,,电机1实际电流,,0,65536,0,uint16_t,RO,,,Y,,,,,,
46,,电机2实际电流,,0,65536,0,uint16_t,RO,,,Y,,,,,,
47,,电机3实际电流,,0,65536,0,uint16_t,RO,,,Y,,,,,,
48,,电机4实际电流,,0,65536,0,uint16_t,RO,,,Y,,,,,,
49,,电机5实际电流,,0,65536,0,uint16_t,RO,,,Y,,,,,,
