M300通道,MCU通道,测试值,电阻,数值,上限,下限,测试值,空载,数值,上限,下限,测试值,带载,数值,上限,下限,测试值,40度,数值,上限,下限,测试值,70度,数值,上限,下限,测试值,老化电压,数值,上限,下限,测试值,常温电压,数值,上限,下限,测试结果,补偿,板卡编号,点位名称,测量类型,电压通道,启用,后续设置(未用)
501,1,0,10K,10000,10100,9900,0,10mv,无,10,-1,0,无,无,12.2,11.8,0,无,无,12.2,11.8,0,无,无,12.2,11.8,0,无,无,12.2,11.8,0,无,无,12.2,11.8,0,0.005,左3对GND,12V,电阻,1,是,继续
501,2,0,10K,10000,10100,9900,0,10mv,5,10,-1,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,0.005,左5对GND,5V,电阻,1,是,继续
501,3,0,10K,10000,10100,9900,0,10mv,VBUS,10,-1,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,0.005,左8对GND,VBUS,电阻,1,是,停止
501,4,0,10K,10000,10100,9900,0,10mv,25,10,-1,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,0.005,左10对GND,VBUS-25V,电阻,1,是,停止
501,5,0,10K,10000,10100,9900,0,10mv,35,10,-1,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,0.005,左13对GND,VBUS-35V,电阻,1,是,停止
501,6,0,10K,10000,10100,9900,0,10mv,51,10,-1,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,0.005,左15对GND,VBUS-51V,电阻,1,是,停止
501,7,0,10K,10000,10100,9900,0,10mv,无,10,-1,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,0.005,左18对GND,12V,电阻,1,是,停止
501,8,0,10K,10000,10100,9900,0,10mv,5,10,-1,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,0.005,左20对GND,5V,电阻,1,是,停止
501,9,0,10K,10000,10100,9900,0,10mv,VBUS,10,-1,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,0.005,右2对GND,VBUS,电阻,1,是,停止
501,10,0,10K,10000,10100,9900,0,10mv,25,10,-1,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,0.005,右4对GND,VBUS-25V,电阻,1,是,停止
501,11,0,10K,10000,10100,9900,0,10mv,35,10,-1,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,0.005,右7对GND,VBUS-35V,电阻,1,是,停止
501,12,0,10K,10000,10100,9900,0,10mv,51,10,-1,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,0.005,右9对GND,VBUS-51V,无,1,是,0
501,13,0,10K,10000,10100,9900,0,10mv,无,10,-1,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,0.005,右12对GND,12V,无,1,是,0
501,14,0,10K,10000,10100,9900,0,10mv,5,10,-1,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,0.005,右14对GND,5V,无,1,是,0
501,15,0,10K,10000,10100,9900,0,10mv,VBUS,10,-1,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,0.005,右17对GND,VBUS,无,1,是,0
501,16,0,10K,10000,10100,9900,0,10mv,25,10,-1,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,0.005,右19对GND,VBUS-25V,无,1,是,0
501,17,0,20K,20000,20300,19700,0,VHV± 1 V,35,VHV+ 1 V,VHV-1 V,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,0.005,左2对HV,VBUS-35V,无,2,是,继续
501,18,0,20K,20000,20300,19700,0,VHV± 1 V,51,VHV+ 1 V,VHV-1 V,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,0.005,左4对HV,VBUS-51V,无,2,是,继续
501,19,0,20K,20000,20300,19700,0,VHV± 1 V,无,VHV+ 1 V,VHV-1 V,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,0.005,左7对HV,12V,无,2,是,停止
501,20,0,20K,20000,20300,19700,0,VHV± 1 V,5,VHV+ 1 V,VHV-1 V,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,0.005,左9对HV,5V,无,2,是,停止
501,21,0,20K,20000,20300,19700,0,VHV± 1 V,VBUS,VHV+ 1 V,VHV-1 V,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,0.005,左12对HV,VBUS,无,2,是,停止
501,22,0,20K,20000,20300,19700,0,VHV± 1 V,25,VHV+ 1 V,VHV-1 V,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,0.005,左14对HV,VBUS-25V,无,2,是,停止
501,23,0,20K,20000,20300,19700,0,VHV± 1 V,35,VHV+ 1 V,VHV-1 V,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,0.005,左17对HV,VBUS-35V,无,2,是,停止
501,24,0,20K,20000,20300,15000,0,VHV± 1 V,51,VHV+ 1 V,VHV-1 V,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,51V,51,51.5,50.5,0,0.005,左19对HV,VBUS-51V,无,2,是,停止
501,25,0,20K,20000,20300,19700,0,VHV± 1 V,无,VHV+ 1 V,VHV-1 V,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,12V,无,12.2,11.8,0,0.005,右3对HV,12V,无,2,是,停止
501,26,0,20K,20000,20300,19700,0,VHV± 1 V,5,VHV+ 1 V,VHV-1 V,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,5V,5,5.3,4.8,0,0.005,右5对HV,5V,无,2,是,继续
501,27,0,20K,20000,20300,19700,0,VHV± 1 V,VBUS,VHV+ 1 V,VHV-1 V,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,VBUS,VBUS,VBUS,VBUS,0,0.005,右8对HV,VBUS,无,2,是,继续
501,28,0,20K,20000,20300,19700,0,VHV± 1 V,25,VHV+ 1 V,VHV-1 V,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,25V,25,25.5,21.5,0,0.005,右10对HV,VBUS-25V,无,2,是,停止
501,29,0,20K,20000,20300,19700,0,VHV± 1 V,35,VHV+ 1 V,VHV-1 V,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,35V,35,35.5,34.5,0,0.005,右13对HV,VBUS-35V,无,2,是,停止
