序号,通道,D1,D2,D3,D4,D5,D6,D7,autoscan,MCU,设备类型,设备测试指令,点位,测试值,上限,下限,是否结束,补偿
1,无,0,0,0,0,0,0,0,无,2,无,关闭所有电压输出,MCU去电,,无,无,N,无
2,(@501),1,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,工装上电阻MTDC 1K,,1050,950,Y,无
3,(@501),2,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,H12对H10,,0,10000,Y,无
4,(@501),3,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,T3,,60,20,Y,无
5,(@501),4,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,T4,,500,200,Y,无
6,无,无,无,无,无,无,无,无,无,无,提示,设置稳压电源…，完成后按确定继续测试,无,,无,无,N,无
7,无,1,0,0,0,0,0,0,无,2,无,为MCU供电D1=1.8 D2=3.3,MCU上电,,无,无,N,无
8,(@501),3,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T3,,12.2,11.8,Y,无
9,(@501),4,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T4,,3.33,3.28,Y,无
10,(@501),5,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T5,,1.23,1.18,Y,无
11,(@501),6,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP7(r70),,1.35,1.25,Y,无
12,(@501),7,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP8(r66),,1.35,1.25,Y,无
13,(@501),8,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP10(r65),,1.35,1.25,Y,无
14,(@501),9,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP11(r69),,1.35,1.25,Y,无
15,(@501),10,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP13(r79),,1.35,1.25,Y,无
16,(@501),11,0,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP14(r80),,1.35,1.25,Y,无
17,无,无,无,无,无,无,无,无,无,无,提示,按要求打开烧录软件…，完成后等待提示进行烧录,无,,无,无,N,无
18,无,0,0,0,1,0,0,0,无,1,无,FL接通,无,,无,无,N,无
19,无,无,无,无,无,无,无,无,无,无,提示,请进行烧录，完成后点击确定以关闭继电器，将进行信号测试,无,,无,无,N,无
20,无,0,0,0,0,0,0,0,无,1,无,FL断开,无,,无,无,N,无
21,无,无,无,无,无,无,无,无,无,无,提示,请打开示波器进行测试，准备完成后点击确定继续,无,,无,无,N,无
22,CHANnel1,0,0,0,0,0,10,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-2,,102000,99000,Y,无
23,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,,3.45,3.15,Y,无
24,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,,0.52,0.48,Y,无
25,CHANnel1,0,0,0,0,0,20,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-3,,102000,99000,Y,无
26,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,,3.45,3.15,Y,无
27,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,,0.52,0.48,Y,无
28,CHANnel1,0,0,0,0,0,30,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-4,,102000,99000,Y,无
29,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-4,,3.45,3.15,Y,无
30,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-4,,0.52,0.48,Y,无
31,CHANnel1,0,0,0,0,0,40,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-5,,102000,99000,Y,无
32,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-5,,3.45,3.15,Y,无
33,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-5,,0.52,0.48,Y,无
34,CHANnel1,0,0,0,0,0,50,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-6,,102000,99000,Y,无
35,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-6,,3.45,3.15,Y,无
36,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-6,,0.52,0.48,Y,无
37,CHANnel1,0,0,0,0,0,60,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-7,,102000,99000,Y,无
38,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-7,,3.45,3.15,Y,无
39,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-7,,0.52,0.48,Y,无
40,CHANnel1,0,0,0,0,0,70,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-8,,102000,99000,Y,无
41,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-8,,3.45,3.15,Y,无
42,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-8,,0.52,0.48,Y,无
43,CHANnel1,0,0,0,0,0,80,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-9,,102000,99000,Y,无
44,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-9,,3.45,3.15,Y,无
45,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-9,,0.52,0.48,Y,无
46,CHANnel2,0,0,0,0,0,1,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-11,,102000,99000,Y,无
47,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-11,,3.45,3.15,Y,无
48,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-11,,0.52,0.48,Y,无
49,CHANnel2,0,0,0,0,0,2,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-12,,102000,99000,Y,无
50,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-12,,3.45,3.15,Y,无
51,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-12,,0.52,0.48,Y,无
52,CHANnel2,0,0,0,0,0,3,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-13,,102000,99000,Y,无
53,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-13,,3.45,3.15,Y,无
54,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-13,,0.52,0.48,Y,无
55,CHANnel2,0,0,0,0,0,4,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-14,,102000,99000,Y,无
56,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-14,,3.45,3.15,Y,无
57,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-14,,0.52,0.48,Y,无
58,CHANnel2,0,0,0,0,0,5,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-15,,102000,99000,Y,无
