序号,通道,D1,D2,D3,D4,D5,D6,D7,autoscan,MCU,设备类型,设备测试指令,点位,测试值,上限,下限,测试结果,是否结束,补偿
1,无,0,0,0,0,0,0,0,无,2,无,关闭所有电压输出,MCU去电,无,无,无,无,N,无
2,(@501),1,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,工装上电阻MTDC 1K,无,1050,950,无,Y,无
3,(@501),2,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,H12对H10,无,0,10000,无,Y,无
4,(@501),3,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,T3,无,60,20,无,Y,无
5,(@501),4,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,T4,无,500,200,无,Y,无
6,无,无,无,无,无,无,无,无,无,无,提示,设置稳压电源…，完成后按确定继续测试,无,无,无,无,无,N,无
7,无,0,0,0,1,0,0,0,无,2,无,为MCU供电D1=1.8 D2=3.3,MCU上电,无,无,无,无,N,无
8,(@501),3,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T3,无,12.2,11.8,无,Y,无
9,(@501),4,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T4,无,3.33,3.28,无,Y,无
10,(@501),5,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T5,无,1.23,1.18,无,Y,无
11,(@501),6,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP7(r70),无,1.35,1.25,无,Y,无
12,(@501),7,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP8(r66),无,1.35,1.25,无,Y,无
13,(@501),8,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP10(r65),无,1.35,1.25,无,Y,无
14,(@501),9,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP11(r69),无,1.35,1.25,无,Y,无
15,(@501),10,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP13(r79),无,1.35,1.25,无,Y,无
16,(@501),11,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP14(r80),无,1.35,1.25,无,Y,无
17,无,无,无,无,无,无,无,无,无,无,提示,按要求打开烧录软件…，完成后等待提示进行烧录,无,无,无,无,无,N,无
18,无,0,0,0,1,0,0,0,无,1,无,FL接通,无,无,无,无,无,N,无
19,无,无,无,无,无,无,无,无,无,无,提示,请进行烧录，完成后点击确定以关闭继电器，将进行信号测试,无,无,无,无,无,N,无
20,无,0,0,0,0,0,0,0,无,1,无,FL断开,无,无,无,无,无,N,无
21,无,无,无,无,无,无,无,无,无,无,提示,请打开示波器进行测试，准备完成后点击确定继续,无,无,无,无,无,N,无
22,CHANnel1,0,0,0,0,0,10,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
23,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
24,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
25,CHANnel1,0,0,0,0,0,20,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
