序号,通道,D1,D2,D3,D4,D5,D6,D7,autoscan,MCU,设备类型,设备测试指令,点位,测试值,上限,下限,测试结果,是否结束,补偿,配置提示
1,无,0,0,0,0,0,0,0,无,2,无,关闭所有电压输出,MCU去电,无,无,无,无,N,0.2,0
2,(@501),1,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,工装上电阻MTDC 1K,无,100,90,无,Y,无,0
3,(@501),2,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,H12对H10,无,30000,1000,无,N,无,0
4,(@501),3,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,T3,无,100000,1000,无,N,无,0
5,(@501),4,1,0,0,0,0,0,无,1,M300,MEAS:RES? ,T4,无,60,20,无,N,无,0
6,无,无,无,无,无,无,无,无,无,无,提示,设置稳压电源…，完成后按确定继续测试,无,无,无,无,无,N,无,0
7,无,0,0,0,1,0,0,0,无,2,无,为MCU供电D1=1.8 D2=3.3,MCU上电,无,无,无,无,N,无,0
8,(@501),3,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T3,无,12.5,11.5,无,N,无,0
9,(@501),4,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T4,无,3.45,3.28,无,N,无,0
10,(@501),5,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,T5,无,1.23,1.18,无,N,无,0
11,(@501),6,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP7(r70),无,1.35,1.25,无,N,无,0
12,(@501),7,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP8(r66),无,1.35,1.25,无,N,无,0
13,(@501),8,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP10(r65),无,1.35,1.25,无,N,无,0
14,(@501),9,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP11(r69),无,1.35,1.25,无,N,无,0
15,(@501),10,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP13(r79),无,1.35,1.25,无,N,无,0
16,(@501),11,1,0,0,0,0,0,无,1,M300,MEAS:VOLT:DC? ,TP14(r80),无,1.35,1.25,无,N,无,0
17,无,无,无,无,无,无,无,无,无,无,提示,按要求打开烧录软件…，完成后等待提示进行烧录,无,无,无,无,无,N,无,0
18,无,0,0,0,1,0,0,0,无,1,无,FL接通,无,无,无,无,无,N,无,0
19,无,无,无,无,无,无,无,无,无,无,提示,请进行烧录，完成后点击确定以关闭继电器，将进行信号测试,无,无,无,无,无,N,无,0
20,无,0,0,0,0,0,0,0,无,1,无,FL断开,无,无,无,无,无,N,无,0
21,无,无,无,无,无,无,无,无,无,无,提示,请打开示波器进行测试，准备完成后点击确定继续,无,无,无,无,无,N,无,0
22,CHANnel1,0,0,0,0,0,16,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,H1,无,1050000,950000,无,N,无,0
23,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,H1,无,3,2.2,无,N,无,0
24,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,H1,无,0.52,0.48,无,N,无,0
25,CHANnel1,0,0,0,0,0,32,0,无,1,示波,:MEASure:FREQuency? ,H2,无,1050000,950000,无,N,无,0
26,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,H2,无,3,2.2,无,N,无,0
27,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,H2,无,0.52,0.48,无,N,无,0
28,CHANnel1,0,0,0,0,0,48,0,无,1,示波,:MEASure:FREQuency? ,H3,无,1050000,950000,无,N,无,0
29,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,H3,无,3,2.2,无,N,无,0
30,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,H3,无,0.52,0.48,无,N,无,0
31,CHANnel1,0,0,0,0,0,64,0,无,1,示波,:MEASure:FREQuency? ,H5,无,1050000,950000,无,N,无,0
32,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,H5,无,3,2.2,无,N,无,0
33,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,H5,无,0.52,0.48,无,N,无,0
34,CHANnel1,0,0,0,0,0,80,0,无,1,示波,:MEASure:FREQuency? ,H6,无,1050000,950000,无,N,无,0
35,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,H6,无,3,2.2,无,N,无,0
36,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,H6,无,0.52,0.48,无,N,无,0
37,CHANnel1,0,0,0,0,0,96,0,无,1,示波,:MEASure:FREQuency? ,H7,无,1050000,950000,无,N,无,0
38,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,H7,无,3,2.2,无,N,无,0
39,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,H7,无,0.52,0.48,无,N,无,0
40,CHANnel1,0,0,0,0,0,112,0,无,1,示波,:MEASure:FREQuency? ,H8,无,1050000,950000,无,N,无,0
41,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,H8,无,3,2.2,无,N,无,0
42,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,H8,无,0.52,0.48,无,N,无,0
43,CHANnel1,0,0,0,0,0,128,0,无,1,示波,:MEASure:FREQuency? ,J3-1,无,1050000,950000,无,N,无,0
44,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J3-1,无,3,2.2,无,N,无,0
45,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J3-1,无,0.52,0.48,无,N,无,0
22,CHANnel1,0,0,0,0,0,1,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J3-2,无,1050000,950000,无,N,无,0
23,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J3-2,无,3,2.2,无,N,无,0
24,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J3-2,无,0.52,0.48,无,N,无,0
25,CHANnel1,0,0,0,0,0,2,0,无,1,示波,:MEASure:FREQuency? ,J3-3,无,1050000,950000,无,N,无,0
26,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J3-3,无,3,2.2,无,N,无,0
27,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J3-3,无,0.52,0.48,无,N,无,0
28,CHANnel1,0,0,0,0,0,3,0,无,1,示波,:MEASure:FREQuency? ,J3-7,无,1050000,950000,无,N,无,0
29,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J3-7,无,3,2.2,无,N,无,0
30,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J3-7,无,0.52,0.48,无,N,无,0
31,CHANnel1,0,0,0,0,0,4,0,无,1,示波,:MEASure:FREQuency? ,J3-8,无,1050000,950000,无,N,无,0
32,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J3-8,无,3,2.2,无,N,无,0
33,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J3-8,无,0.52,0.48,无,N,无,0
34,CHANnel1,0,0,0,0,0,5,0,无,1,示波,:MEASure:FREQuency? ,TP57,无,1050000,950000,无,N,无,0
35,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,TP57,无,3,2.2,无,N,无,0
36,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,TP57,无,0.52,0.48,无,N,无,0
37,CHANnel1,0,0,0,0,0,6,0,无,1,示波,:MEASure:FREQuency? ,TP52,无,1050000,950000,无,N,无,0
38,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,TP52,无,3,2.2,无,N,无,0
39,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,TP52,无,0.52,0.48,无,N,无,0
40,CHANnel1,0,0,0,0,0,7,0,无,1,示波,:MEASure:FREQuency? ,TP48,无,1050000,950000,无,N,无,0
41,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,TP48,无,3,2.2,无,N,无,0
42,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,TP48,无,0.52,0.48,无,N,无,0
43,CHANnel1,0,0,0,0,0,8,0,无,1,示波,:MEASure:FREQuency? ,TP45,无,1050000,950000,无,N,无,0
44,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,TP45,无,3,2.2,无,N,无,0
45,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,TP45,无,0.52,0.48,无,N,无,0
